STEP - Plot	Volt - Plot
0	3,0205
16	3,0205
32	3,0156
48	3,0156
64	3,0156
80	3,0108
96	3,0108
112	3,0108
128	3,0059
144	3,001
160	3,001
176	2,9961
192	2,9961
208	2,9961
224	2,9912
240	2,9863
256	2,9863
272	2,9814
288	2,9814
304	2,9765
320	2,9765
336	2,9717
352	2,9717
368	2,9668
384	2,9668
400	2,9668
416	2,9619
432	2,9619
448	2,957
464	2,957
480	2,957
496	2,957
512	2,9521
528	2,9521
544	2,9521
560	2,9521
576	2,9521
592	2,9472
608	2,9472
624	2,9472
640	2,9472
656	2,9472
672	2,9472
688	2,9423
704	2,9423
720	2,9423
736	2,9423
752	2,9423
768	2,9374
784	2,9374
800	2,9374
816	2,9374
832	2,9326
848	2,9326
864	2,9277
880	2,9277
896	2,9277
912	2,9277
928	2,9228
944	2,9228
960	2,9228
976	2,9179
992	2,9179
1008	2,9179
1024	2,913
1040	2,913
1056	2,9081
1072	2,9081
1088	2,9032
1104	2,9032
1120	2,8983
1136	2,8983
1152	2,8935
1168	2,8935
1184	2,8935
1200	2,8886
1216	2,8886
1232	2,8886
1248	2,8837
1264	2,8837
1280	2,8837
1296	2,8788
1312	2,8788
1328	2,8788
1344	2,8788
1360	2,8788
1376	2,8788
1392	2,8788
1408	2,8788
1424	2,8739
1440	2,8739
1456	2,8739
1472	2,8739
1488	2,8739
1504	2,8739
1520	2,869
1536	2,869
1552	2,869
1568	2,869
1584	2,869
1600	2,869
1616	2,869
1632	2,869
1648	2,869
1664	2,869
1680	2,869
1696	2,869
1712	2,869
1728	2,869
1744	2,869
1760	2,869
1776	2,869
1792	2,869
1808	2,869
1824	2,869
1840	2,869
1856	2,869
1872	2,869
1888	2,8641
1904	2,8641
1920	2,8641
1936	2,8641
1952	2,8592
1968	2,8592
1984	2,8543
2000	2,8543
2016	2,8495
2032	2,8495
2048	2,8446
2064	2,8397
2080	2,8397
2096	2,8397
2112	2,8348
2128	2,8348
2144	2,8299
2160	2,8299
2176	2,825
2192	2,8201
2208	2,8201
2224	2,8152
2240	2,8152
2256	2,8104
2272	2,8104
2288	2,8055
2304	2,8006
2320	2,7957
2336	2,7908
2352	2,7859
2368	2,781
2384	2,7761
2400	2,7713
2416	2,7664
2432	2,7615
2448	2,7566
2464	2,7517
2480	2,7468
2496	2,737
2512	2,737
2528	2,7322
2544	2,7273
2560	2,7273
2576	2,7273
2592	2,7224
2608	2,7224
2624	2,7224
2640	2,7224
2656	2,7224
2672	2,7175
2688	2,7175
2704	2,7175
2720	2,7126
2736	2,7126
2752	2,7126
2768	2,7077
2784	2,7077
2800	2,7028
2816	2,6979
2832	2,6931
2848	2,6882
2864	2,6833
2880	2,6784
2896	2,6686
2912	2,6637
2928	2,654
2944	2,6491
2960	2,6393
2976	2,6344
2992	2,6246
3008	2,6149
3024	2,6051
3040	2,5953
3056	2,5855
3072	2,5758
3088	2,566
3104	2,5562
3120	2,5464
3136	2,5318
3152	2,5171
3168	2,5024
3184	2,4878
