STEP - Plot	Volt - Plot
0	1.3441
-16	1.3294
-32	1.3099
-48	1.2952
-64	1.2805
-80	1.2708
-96	1.2561
-112	1.2414
-128	1.2317
-144	1.217
-160	1.2023
-176	1.1877
-192	1.173
-208	1.1584
-224	1.1437
-240	1.1339
-256	1.1193
-272	1.1095
-288	1.0997
-304	1.0899
-320	1.085
-336	1.0753
-352	1.0753
-368	1.0753
-384	1.0753
-400	1.0802
-416	1.085
-432	1.0948
-448	1.1095
-464	1.129
-480	1.1486
-496	1.173
-512	1.2072
-528	1.2414
-544	1.2854
-560	1.3294
-576	1.3832
-592	1.4418
-608	1.5054
-624	1.5738
-640	1.6471
-656	1.7204
-672	1.8035
-688	1.8866
-704	1.9746
-720	2.0674
-736	2.1652
-752	2.2581
-768	2.3607
-784	2.4585
-800	2.5513
-816	2.654
-832	2.7517
-848	2.8446
-864	2.9374
-880	3.0205
-896	3.0987
-912	3.172
-928	3.2405
-944	3.2991
-960	3.3529
-976	3.4018
-992	3.4409
-1008	3.48
-1024	3.5044
-1040	3.5239
-1056	3.5337
-1072	3.5386
-1088	3.5386
-1104	3.5386
-1120	3.5337
-1136	3.5386
-1152	3.5484
-1168	3.5533
-1184	3.5777
-1200	3.6022
-1216	3.6217
-1232	3.6364
-1248	3.6461
-1264	3.651
-1280	3.651
-1296	3.651
-1312	3.651
-1328	3.6413
-1344	3.6364
-1360	3.6315
-1376	3.6217
-1392	3.6168
-1408	3.6119
-1424	3.6022
-1440	3.5973
-1456	3.5924
-1472	3.5924
-1488	3.5875
-1504	3.5826
-1520	3.5777
-1536	3.5679
-1552	3.5582
-1568	3.5533
-1584	3.5435
-1600	3.5337
-1616	3.5191
-1632	3.5093
-1648	3.5044
-1664	3.4995
-1680	3.4946
-1696	3.4897
-1712	3.48
-1728	3.4702
-1744	3.4604
-1760	3.4457
-1776	3.436
-1792	3.4213
-1808	3.4066
-1824	3.3969
-1840	3.3822
-1856	3.3724
-1872	3.3627
-1888	3.3529
-1904	3.348
-1920	3.3382
-1936	3.3284
-1952	3.3236
-1968	3.3138
-1984	3.304
-2000	3.2991
-2016	3.2893
-2032	3.2796
-2048	3.2698
-2064	3.26
-2080	3.2454
-2096	3.2405
-2112	3.2356
-2128	3.2356
-2144	3.2356
-2160	3.2258
-2176	3.2209
-2192	3.216
-2208	3.2063
-2224	3.1965
-2240	3.1916
-2256	3.1818
-2272	3.1818
-2288	3.1769
-2304	3.1672
-2320	3.1623
-2336	3.1574
-2352	3.1525
-2368	3.1476
-2384	3.1378
-2400	3.1281
-2416	3.1183
-2432	3.1085
-2448	3.0987
-2464	3.089
-2480	3.0792
-2496	3.0645
-2512	3.0547
-2528	3.045
-2544	3.0401
-2560	3.0401
-2576	3.0352
-2592	3.0303
-2608	3.0254
-2624	3.0254
-2640	3.0205
-2656	3.0205
-2672	3.0303
-2688	3.0352
-2704	3.0352
-2720	3.0352
-2736	3.0352
-2752	3.0352
-2768	3.0303
-2784	3.0303
-2800	3.0352
-2816	3.0303
-2832	3.0303
-2848	3.0352
-2864	3.0303
-2880	3.0352
-2896	3.0352
-2912	3.0352
-2928	3.0352
-2944	3.0352
-2960	3.0352
-2976	3.0303
-2992	3.0254
-3008	3.0254
-3024	3.0254
-3040	3.0254
-3056	3.0303
-3072	3.0303
-3088	3.0352
-3104	3.0352
-3120	3.0352
-3136	3.0303
-3152	3.0303
-3168	3.0254
-3184	3.0303
