STEP - Plot	Volt - Plot
0	3.001
-3	3.001
-6	3.001
-9	3.001
-12	3.001
-15	3.001
-18	3.001
-21	3.001
-24	3.001
-27	3.001
-30	3.001
-33	3.001
-36	3.001
-39	3.001
-42	3.001
-45	3.001
-48	3.001
-51	3.001
-54	3.001
-57	3.001
-60	3.001
-63	3.001
-66	3.001
-69	3.001
-72	3.001
-75	3.0059
-78	3.0059
-81	3.0059
-84	3.0059
-87	3.0059
-90	3.0059
-93	3.0059
-96	3.0059
-99	3.0059
-102	3.0059
-105	3.0059
-108	3.0059
-111	3.0059
-114	3.0059
-117	3.0059
-120	3.0059
-123	3.0059
-126	3.0059
-129	3.0059
-132	3.0059
-135	3.0059
-138	3.0059
-141	3.0059
-144	3.0059
-147	3.0059
-150	3.0059
-153	3.0059
-156	3.0059
-159	3.0059
-162	3.0059
-165	3.0059
-168	3.0059
-171	3.0059
-174	3.001
-177	3.001
-180	3.001
-183	3.001
-186	3.001
-189	3.001
-192	3.001
-195	3.001
-198	3.001
-201	3.001
-204	3.001
-207	3.001
-210	3.001
-213	3.001
-216	3.001
-219	2.9961
-222	2.9961
-225	2.9961
-228	2.9961
-231	2.9961
-234	2.9961
-237	2.9961
-240	2.9912
-243	2.9912
-246	2.9912
-249	2.9863
-252	2.9863
-255	2.9863
-258	2.9863
-261	2.9863
-264	2.9814
-267	2.9814
-270	2.9814
-273	2.9814
-276	2.9814
-279	2.9765
-282	2.9765
-285	2.9765
-288	2.9765
-291	2.9717
-294	2.9717
-297	2.9717
-300	2.9668
-303	2.9668
-306	2.9668
-309	2.9668
-312	2.9619
-315	2.9619
-318	2.957
-321	2.957
-324	2.9521
-327	2.9521
-330	2.9472
-333	2.9472
-336	2.9472
-339	2.9423
-342	2.9423
-345	2.9374
-348	2.9374
-351	2.9326
-354	2.9326
-357	2.9277
-360	2.9277
-363	2.9228
-366	2.9228
-369	2.9179
-372	2.9179
-375	2.913
-378	2.9081
-381	2.9081
-384	2.9032
-387	2.9032
-390	2.8983
-393	2.8983
-396	2.8935
-399	2.8935
-402	2.8886
-405	2.8837
-408	2.8837
-411	2.8788
-414	2.8739
-417	2.869
-420	2.8641
-423	2.8641
-426	2.8592
-429	2.8543
-432	2.8495
-435	2.8446
-438	2.8397
-441	2.8348
-444	2.8299
-447	2.825
-450	2.8201
-453	2.8152
-456	2.8104
-459	2.8006
-462	2.7957
-465	2.7908
-468	2.781
-471	2.7761
-474	2.7713
-477	2.7615
-480	2.7566
-483	2.7468
-486	2.7419
-489	2.7322
-492	2.7224
-495	2.7126
-498	2.7028
-501	2.6931
-504	2.6833
-507	2.6735
-510	2.6588
-513	2.6491
-516	2.6344
-519	2.6246
-522	2.61
-525	2.5953
-528	2.5806
-531	2.566
-534	2.5464
-537	2.5318
-540	2.5122
-543	2.4927
-546	2.4731
-549	2.4487
-552	2.4242
-555	2.3998
-558	2.3754
-561	2.346
-564	2.3167
-567	2.2874
-570	2.2532
-573	2.219
-576	2.1799
-579	2.1457
-582	2.1065
-585	2.0626
-588	2.0186
-591	1.9697
-594	1.9208
-597	1.8719
-600	1.8182
-603	1.7644
-606	1.7107
-609	1.6569
-612	1.6031
-615	1.5494
-618	1.4956
-621	1.4467
-624	1.4027
-627	1.3636
-630	1.3294
-633	1.3001
-636	1.2757
-639	1.261
-642	1.2561
-645	1.261
-648	1.2708
-651	1.2903
-654	1.3196
-657	1.3539
-660	1.3978
-663	1.4467
-666	1.4956
-669	1.5591
-672	1.6227
-675	1.6862
-678	1.7498
-681	1.8182
-684	1.8866
-687	1.9501
-690	2.0137
-693	2.0772
-696	2.1359
-699	2.1945
-702	2.2483
-705	2.2972
-708	2.3412
-711	2.39
-714	2.4291
-717	2.4682
-720	2.5073
-723	2.5415
-726	2.5758
-729	2.6051
-732	2.6344
-735	2.6588
-738	2.6833
-741	2.7077
-744	2.7273
-747	2.7468
-750	2.7664
-753	2.781
-756	2.7957
-759	2.8104
-762	2.825
-765	2.8397
-768	2.8495
-771	2.8592
-774	2.8739
-777	2.8788
-780	2.8886
-783	2.8983
-786	2.9081
-789	2.913
-792	2.9228
-795	2.9277
-798	2.9326
-801	2.9423
-804	2.9472
-807	2.9521
-810	2.9521
-813	2.957
-816	2.9619
-819	2.9668
-822	2.9668
-825	2.9717
-828	2.9765
-831	2.9814
-834	2.9814
-837	2.9863
-840	2.9912
-843	2.9912
-846	2.9961
-849	2.9961
-852	3.001
-855	3.001
-858	3.001
-861	3.0059
-864	3.0059
-867	3.0108
-870	3.0108
-873	3.0108
-876	3.0156
-879	3.0156
-882	3.0156
-885	3.0205
-888	3.0205
-891	3.0205
-894	3.0205
-897	3.0205
-900	3.0205
-903	3.0205
-906	3.0254
-909	3.0254
-912	3.0254
-915	3.0254
-918	3.0303
-921	3.0303
-924	3.0303
-927	3.0303
-930	3.0352
-933	3.0352
-936	3.0352
-939	3.0401
-942	3.0401
-945	3.0401
-948	3.0401
-951	3.045
-954	3.045
-957	3.045
-960	3.045
-963	3.0499
-966	3.0499
-969	3.0499
-972	3.0547
-975	3.0547
-978	3.0547
-981	3.0547
-984	3.0596
-987	3.0596
-990	3.0596
-993	3.0596
-996	3.0596
-999	3.0645
-1002	3.0645
-1005	3.0645
-1008	3.0645
-1011	3.0645
-1014	3.0694
-1017	3.0694
-1020	3.0743
-1023	3.0743
-1026	3.0743
-1029	3.0743
-1032	3.0792
-1035	3.0792
-1038	3.0792
-1041	3.0792
-1044	3.0792
-1047	3.0792
-1050	3.0792
-1053	3.0792
-1056	3.0792
-1059	3.0792
-1062	3.0792
