STEP - Plot	Volt - Plot
0	2.1652
16	2.1652
32	2.1652
48	2.1603
64	2.1554
80	2.1554
96	2.1505
112	2.1505
128	2.1457
144	2.1457
160	2.1457
176	2.1408
192	2.1359
208	2.1359
224	2.1359
240	2.131
256	2.131
272	2.131
288	2.131
304	2.131
320	2.1261
336	2.131
352	2.1212
368	2.1163
384	2.1163
400	2.1114
416	2.1114
432	2.1212
448	2.1114
464	2.1212
480	2.1163
496	2.1114
512	2.1114
528	2.1212
544	2.1212
560	2.1163
576	2.1163
592	2.1163
608	2.1163
624	2.1212
640	2.1212
656	2.1163
672	2.1163
688	2.1163
704	2.1163
720	2.1212
736	2.1163
752	2.1163
768	2.1163
784	2.1163
800	2.1163
816	2.1163
832	2.1163
848	2.1163
864	2.1163
880	2.1163
896	2.1163
912	2.1163
928	2.1163
944	2.1163
960	2.1163
976	2.1114
992	2.1114
1008	2.1114
1024	2.1065
1040	2.1065
1056	2.1065
1072	2.1017
1088	2.0968
1104	2.0919
1120	2.0821
1136	2.0723
1152	2.0674
1168	2.0528
1184	2.043
1200	2.0381
1216	2.0283
1232	2.0186
1248	2.0088
1264	2.0039
1280	1.9941
1296	1.9892
1312	1.9795
1328	1.9746
1344	1.9648
1360	1.9599
1376	1.9453
1392	1.9257
1408	1.9062
1424	1.8915
1440	1.8768
1456	1.8671
1472	1.8524
1488	1.8328
1504	1.8133
1520	1.7889
1536	1.7595
1552	1.7253
1568	1.696
1584	1.6569
1600	1.6227
1616	1.5885
1632	1.5543
1648	1.5298
1664	1.5103
1680	1.4956
1696	1.4956
1712	1.5054
1728	1.52
1744	1.5347
1760	1.5494
1776	1.5591
1792	1.564
1808	1.564
1824	1.5591
1840	1.5445
1856	1.52
1872	1.4907
1888	1.4565
1904	1.4223
1920	1.3783
1936	1.3294
1952	1.2757
1968	1.2219
1984	1.1681
2000	1.1095
2016	1.0557
2032	0.9971
2048	0.9384
2064	0.8749
2080	0.8113
2096	0.7527
2112	0.6891
2128	0.6354
2144	0.5816
2160	0.5279
2176	0.479
2192	0.4301
2208	0.3861
2224	0.347
2240	0.3128
2256	0.2786
2272	0.2493
2288	0.2248
2304	0.2004
2320	0.1808
2336	0.1662
2352	0.1515
2368	0.1417
2384	0.132
2400	0.1271
2416	0.1173
2432	0.1124
2448	0.1075
2464	0.1026
2480	0.1026
2496	0.0978
2512	0.0929
2528	0.0929
2544	0.088
2560	0.088
2576	0.0831
2592	0.0831
2608	0.0831
2624	0.0831
2640	0.0782
2656	0.0782
2672	0.0782
2688	0.0782
2704	0.0782
2720	0.0782
2736	0.0782
2752	0.0782
2768	0.0733
2784	0.0733
2800	0.0733
2816	0.0733
2832	0.0733
2848	0.0733
2864	0.0733
2880	0.0733
2896	0.0782
2912	0.0782
2928	0.0782
2944	0.0782
2960	0.0782
2976	0.0782
2992	0.0733
3008	0.0733
3024	0.0733
3040	0.0684
3056	0.0684
3072	0.0684
3088	0.0684
3104	0.0733
3120	0.0733
3136	0.0733
3152	0.0733
3168	0.0733
3184	0.0733
