STEP - Plot	Volt - Plot
0	1.3539
16	1.3685
32	1.3783
48	1.393
64	1.4027
80	1.4174
96	1.4272
112	1.4418
128	1.4516
144	1.4663
160	1.4809
176	1.4956
192	1.5054
208	1.52
224	1.5298
240	1.5396
256	1.5494
272	1.564
288	1.5738
304	1.5836
320	1.5934
336	1.6031
352	1.608
368	1.6129
384	1.6178
400	1.6227
416	1.6325
432	1.6422
448	1.652
464	1.6618
480	1.6667
496	1.6764
512	1.6911
528	1.696
544	1.7058
560	1.7107
576	1.7155
592	1.7155
608	1.7204
624	1.7253
640	1.7302
656	1.7351
672	1.74
688	1.7449
704	1.7546
720	1.7595
736	1.7644
752	1.7644
768	1.7693
784	1.7693
800	1.7693
816	1.7693
832	1.7742
848	1.7791
864	1.7889
880	1.7937
896	1.8084
912	1.8182
928	1.8231
944	1.8328
960	1.8426
976	1.8524
992	1.8573
1008	1.8622
1024	1.8671
1040	1.8719
1056	1.8768
1072	1.8768
1088	1.8817
1104	1.8817
1120	1.8866
1136	1.8866
1152	1.8866
1168	1.8915
1184	1.8964
1200	1.8964
1216	1.8964
1232	1.9013
1248	1.9013
1264	1.8964
1280	1.8964
1296	1.9013
1312	1.9013
1328	1.9062
1344	1.911
1360	1.9159
1376	1.9257
1392	1.9306
1408	1.9355
1424	1.9404
1440	1.9453
1456	1.9453
1472	1.9501
1488	1.9501
1504	1.9501
1520	1.9501
1536	1.9501
1552	1.9501
1568	1.9501
1584	1.9453
1600	1.9453
1616	1.9404
1632	1.9404
1648	1.9453
1664	1.955
1680	1.9599
1696	1.9648
1712	1.9697
1728	1.9795
1744	1.9795
1760	1.9844
1776	1.9844
1792	1.9844
1808	1.9892
1824	1.9892
1840	1.9892
1856	1.9892
1872	1.9941
1888	1.9941
1904	1.999
1920	1.999
1936	1.999
1952	2.0039
1968	2.0088
1984	2.0088
2000	2.0137
2016	2.0137
2032	2.0137
2048	2.0137
2064	2.0186
2080	2.0186
2096	2.0186
2112	2.0186
2128	2.0137
2144	2.0137
2160	2.0137
2176	2.0137
2192	2.0186
2208	2.0186
2224	2.0235
2240	2.0235
2256	2.0235
2272	2.0283
2288	2.0235
2304	2.0235
2320	2.0186
2336	2.0186
2352	2.0186
2368	2.0235
2384	2.0283
2400	2.0332
2416	2.0381
2432	2.043
2448	2.043
2464	2.0479
2480	2.0479
2496	2.0479
2512	2.043
2528	2.0381
2544	2.0332
2560	2.0332
2576	2.0381
2592	2.043
2608	2.0479
2624	2.0528
2640	2.0528
2656	2.0577
2672	2.0626
2688	2.0626
2704	2.0674
2720	2.0723
2736	2.0723
2752	2.0723
2768	2.0723
2784	2.0723
2800	2.0674
2816	2.0723
2832	2.0723
2848	2.0772
2864	2.0772
2880	2.0772
2896	2.0772
2912	2.0821
2928	2.0821
2944	2.0821
2960	2.0821
2976	2.087
2992	2.087
3008	2.087
3024	2.0919
3040	2.0919
3056	2.0919
3072	2.0919
3088	2.087
3104	2.0821
3120	2.0772
3136	2.0772
3152	2.0821
3168	2.0821
3184	2.087
