STEP - Plot	Volt - Plot
0	1.608
-3	1.608
-6	1.608
-9	1.608
-12	1.6031
-15	1.5982
-18	1.5982
-21	1.5934
-24	1.5885
-27	1.5836
-30	1.5836
-33	1.5787
-36	1.5738
-39	1.5689
-42	1.564
-45	1.5591
-48	1.5494
-51	1.5445
-54	1.5396
-57	1.5347
-60	1.5249
-63	1.52
-66	1.5103
-69	1.5054
-72	1.4956
-75	1.4858
-78	1.4761
-81	1.4663
-84	1.4614
-87	1.4516
-90	1.4418
-93	1.4321
-96	1.4223
-99	1.4076
-102	1.3978
-105	1.3881
-108	1.3783
-111	1.3685
-114	1.3539
-117	1.3441
-120	1.3343
-123	1.3196
-126	1.3099
-129	1.3001
-132	1.2854
-135	1.2757
-138	1.261
-141	1.2512
-144	1.2366
-147	1.2268
-150	1.217
-153	1.2023
-156	1.1877
-159	1.1779
-162	1.1632
-165	1.1535
-168	1.1388
-171	1.129
-174	1.1193
-177	1.1046
-180	1.0948
-183	1.0802
-186	1.0704
-189	1.0606
-192	1.0508
-195	1.0362
-198	1.0264
-201	1.0166
-204	1.0068
-207	0.9971
-210	0.9873
-213	0.9824
-216	0.9726
-219	0.9629
-222	0.958
-225	0.9482
-228	0.9433
-231	0.9335
-234	0.9335
-237	0.9238
-240	0.9238
-243	0.9189
-246	0.914
-249	0.9091
-252	0.9091
-255	0.9091
-258	0.9042
-261	0.9042
-264	0.9042
-267	0.9042
-270	0.9091
-273	0.9091
-276	0.914
-279	0.914
-282	0.9189
-285	0.9238
-288	0.9286
-291	0.9335
-294	0.9433
-297	0.9482
-300	0.958
-303	0.9629
-306	0.9726
-309	0.9824
-312	0.9922
-315	1.002
-318	1.0117
-321	1.0264
-324	1.0362
-327	1.0508
-330	1.0606
-333	1.0753
-336	1.085
-339	1.0997
-342	1.1144
-345	1.129
-348	1.1437
-351	1.1584
-354	1.173
-357	1.1877
-360	1.2023
-363	1.217
-366	1.2317
-369	1.2414
-372	1.2561
-375	1.2708
-378	1.2854
-381	1.3001
-384	1.3148
-387	1.3294
-390	1.3441
-393	1.3587
-396	1.3734
-399	1.3881
-402	1.4027
-405	1.4125
-408	1.4272
-411	1.4418
-414	1.4565
-417	1.4663
-420	1.4809
-423	1.4956
-426	1.5054
-429	1.52
-432	1.5298
-435	1.5445
-438	1.5543
-441	1.564
-444	1.5787
-447	1.5885
-450	1.5982
-453	1.6129
-456	1.6227
-459	1.6325
-462	1.6422
-465	1.652
-468	1.6618
-471	1.6716
-474	1.6813
-477	1.6911
-480	1.7009
-483	1.7107
-486	1.7155
-489	1.7253
-492	1.7351
-495	1.74
-498	1.7498
-501	1.7546
-504	1.7644
-507	1.7693
-510	1.7742
-513	1.784
-516	1.7889
-519	1.7937
-522	1.7986
-525	1.8035
-528	1.8084
-531	1.8182
-534	1.8231
-537	1.828
-540	1.8328
-543	1.8328
-546	1.8377
-549	1.8426
-552	1.8475
-555	1.8524
-558	1.8524
-561	1.8573
-564	1.8622
-567	1.8622
-570	1.8671
-573	1.8719
-576	1.8719
-579	1.8768
-582	1.8768
-585	1.8817
-588	1.8817
-591	1.8866
-594	1.8866
-597	1.8866
-600	1.8915
-603	1.8915
-606	1.8964
-609	1.8964
-612	1.8964
-615	1.9013
-618	1.9013
-621	1.9013
-624	1.9013
-627	1.9062
-630	1.9062
-633	1.9062
-636	1.9062
-639	1.911
-642	1.911
-645	1.911
-648	1.911
-651	1.9159
-654	1.9159
-657	1.9159
-660	1.9159
-663	1.9208
-666	1.9208
-669	1.9208
-672	1.9208
-675	1.9208
-678	1.9257
-681	1.9257
-684	1.9257
-687	1.9257
-690	1.9306
-693	1.9306
-696	1.9306
-699	1.9306
-702	1.9306
-705	1.9306
-708	1.9306
-711	1.9355
-714	1.9355
-717	1.9355
-720	1.9355
-723	1.9355
-726	1.9355
-729	1.9355
-732	1.9355
-735	1.9355
-738	1.9355
-741	1.9355
-744	1.9355
-747	1.9355
-750	1.9404
