STEP - Plot	Volt - Plot
0	1.9599
-16	1.9599
-32	1.9599
-48	1.9599
-64	1.9599
-80	1.9599
-96	1.9599
-112	1.9599
-128	1.9599
-144	1.9648
-160	1.9599
-176	1.9599
-192	1.955
-208	1.955
-224	1.955
-240	1.9501
-256	1.9501
-272	1.9453
-288	1.9453
-304	1.9453
-320	1.9404
-336	1.9355
-352	1.9404
-368	1.9355
-384	1.9355
-400	1.9355
-416	1.9355
-432	1.9306
-448	1.9306
-464	1.9306
-480	1.9306
-496	1.9257
-512	1.9257
-528	1.9257
-544	1.9208
-560	1.9208
-576	1.9159
-592	1.9159
-608	1.9159
-624	1.911
-640	1.911
-656	1.9013
-672	1.9013
-688	1.8964
-704	1.8915
-720	1.8866
-736	1.8768
-752	1.8768
-768	1.8671
-784	1.8622
-800	1.8573
-816	1.8524
-832	1.8475
-848	1.8426
-864	1.8377
-880	1.828
-896	1.8231
-912	1.8133
-928	1.8084
-944	1.7986
-960	1.7889
-976	1.7791
-992	1.7644
-1008	1.7546
-1024	1.74
-1040	1.7253
-1056	1.7107
-1072	1.696
-1088	1.6764
-1104	1.6618
-1120	1.6422
-1136	1.6227
-1152	1.6031
-1168	1.5836
-1184	1.564
-1200	1.5396
-1216	1.52
-1232	1.4907
-1248	1.4614
-1264	1.4272
-1280	1.393
-1296	1.3539
-1312	1.3148
-1328	1.2757
-1344	1.2414
-1360	1.2023
-1376	1.1681
-1392	1.1388
-1408	1.1144
-1424	1.0997
-1440	1.0997
-1456	1.1193
-1472	1.1584
-1488	1.2268
-1504	1.3196
-1520	1.4418
-1536	1.5787
-1552	1.7351
-1568	1.8866
-1584	2.0283
-1600	2.1554
-1616	2.2678
-1632	2.3558
-1648	2.4194
-1664	2.4731
-1680	2.5073
-1696	2.5318
-1712	2.5513
-1728	2.5611
-1744	2.566
-1760	2.566
-1776	2.5611
-1792	2.5562
-1808	2.5464
-1824	2.5415
-1840	2.5318
-1856	2.5269
-1872	2.5171
-1888	2.5073
-1904	2.4976
-1920	2.4927
-1936	2.4829
-1952	2.478
-1968	2.4682
-1984	2.4633
-2000	2.4536
-2016	2.4438
-2032	2.4389
-2048	2.4291
-2064	2.4194
-2080	2.4145
-2096	2.4096
-2112	2.4047
-2128	2.3998
-2144	2.3949
-2160	2.3851
-2176	2.3803
-2192	2.3754
-2208	2.3705
-2224	2.3656
-2240	2.3607
-2256	2.3558
-2272	2.346
-2288	2.3412
-2304	2.3363
-2320	2.3265
-2336	2.3118
-2352	2.2972
-2368	2.2874
-2384	2.2776
-2400	2.2727
-2416	2.2678
-2432	2.263
-2448	2.2581
-2464	2.2483
-2480	2.2434
-2496	2.2385
-2512	2.2336
-2528	2.2287
-2544	2.2287
-2560	2.2239
-2576	2.2239
-2592	2.219
-2608	2.2141
-2624	2.2092
-2640	2.2092
-2656	2.2043
-2672	2.1994
-2688	2.1945
-2704	2.1896
-2720	2.1896
-2736	2.1848
-2752	2.1896
-2768	2.1848
-2784	2.1848
-2800	2.1896
-2816	2.1896
-2832	2.1896
-2848	2.1896
-2864	2.1896
-2880	2.1945
-2896	2.1945
-2912	2.1945
-2928	2.1945
-2944	2.1945
-2960	2.1945
-2976	2.1945
-2992	2.1945
-3008	2.1945
-3024	2.1945
-3040	2.1945
-3056	2.1945
-3072	2.1945
-3088	2.1945
-3104	2.1945
-3120	2.1896
-3136	2.1945
-3152	2.1945
-3168	2.1945
-3184	2.1945
