Zeit	Kanal A
(s)	(mV)

0.02440000	-10.09473000
0.02450000	-3.36491100
0.02460000	-4.48449800
0.02470000	-4.48449800
0.02480000	-4.48449800
0.02490000	-5.60716000
0.02500000	-4.48449800
0.02510000	-5.60716000
0.02520000	-4.48449800
0.02530000	-3.36491100
0.02540000	-5.60716000
0.02550000	-4.48449800
0.02560000	-4.48449800
0.02570000	-3.36491100
0.02580000	-2.24224900
0.02590000	-4.48449800
0.02600000	-4.48449800
0.02610000	-4.48449800
0.02620000	-4.48449800
0.02630000	-6.72982200
0.02640000	-4.48449800
0.02650000	-3.36491100
0.02660000	-4.48449800
0.02670000	-4.48449800
0.02680000	-6.72982200
0.02690000	-4.48449800
0.02700000	-4.48449800
0.02710000	-4.48449800
0.02720000	-5.60716000
0.02730000	-4.48449800
0.02740000	-7.84940900
0.02750000	-4.48449800
0.02760000	-4.48449800
0.02770000	-10.09473000
0.02780000	-4.48449800
0.02790000	-4.48449800
0.02800000	-3.36491100
0.02810000	-3.36491100
0.02820000	-4.48449800
0.02830000	-4.48449800
0.02840000	-5.60716000
0.02850000	-5.60716000
0.02860000	-7.84940900
0.02870000	-4.48449800
0.02880000	-4.48449800
0.02890000	-4.48449800
0.02900000	-5.60716000
0.02910000	-6.72982200
0.02920000	-4.48449800
0.02930000	-4.48449800
0.02940000	-4.48449800
0.02950000	-4.48449800
0.02960000	-4.48449800
0.02970000	-5.60716000
0.02980000	-5.60716000
0.02990000	-4.48449800
0.03000000	-4.48449800
0.03010000	-5.60716000
0.03020000	-3.36491100
0.03030000	-5.60716000
0.03040000	-5.60716000
0.03050000	-4.48449800
0.03060000	-5.60716000
0.03070000	-5.60716000
0.03080000	-5.60716000
0.03090000	-7.84940900
0.03100000	-5.60716000
0.03110000	-5.60716000
0.03120000	-5.60716000
0.03130000	-4.48449800
0.03140000	-4.48449800
0.03150000	-4.48449800
0.03160000	-4.48449800
0.03170000	-4.48449800
0.03180000	-4.48449800
0.03190000	-4.48449800
0.03200000	-7.84940900
